id;total_amount;order_date;delivery_address
72bff7d3-905c-456e-9578-d34878bba838;14867.62;reinvest stealthily where;upliftingly skinny exhale
addf729b-f999-4aad-bd73-3c1879865150;23255.78;ack off;where misplacement
44d24b54-7fc2-44f3-a4d2-246a346bb631;5815.35;fender;whoa calcify
d775b8c7-42d0-4dfa-9d15-bf8e9366db0b;27432.13;subtitle;given
58d0869b-15fb-47f2-9562-ffbce4f571f2;7716.17;balcony;round
43894e95-b1c2-416b-9e21-b8539afcd3d7;7769.22;symbol intensely aboard;beneath mob
2db2e56d-2e9a-4990-9537-d112e5ef3fa0;21929.73;healthily boulevard;to vastly
2eed5839-7757-4357-a417-6523559c919a;27010.09;gah role urgently;shyly since
32f5ae7b-a341-4e9f-a081-ceba5dada2bc;5522.23;prime;offensive forenenst
77651432-98ef-44b8-980c-e917acee0faa;15861.11;boo pace;upliftingly lost huzzah
